rank,company,ticker,industry,state,city,revenues_millions,profits_millions,assets_millions,market_value_millions,employees,website
1,Walmart,WMT,General Merchandisers,Arkansas,Bentonville,"$680,985","$19,436","$260,823","$703,799.2","2,100,000",https://www.stock.walmart.com
2,Amazon,AMZN,Internet Services and Retailing,Washington,Seattle,"$637,959","$59,248","$624,894","$2,016,324","1,556,000",https://www.amazon.com
3,UnitedHealth Group,UNH,Health Care: Insurance and Managed Care,Minnesota,Eden Prairie,"$400,278","$14,405","$298,278","$479,080.6","400,000",https://www.unitedhealthgroup.com
4,Apple,AAPL,"Computers, Office Equipment",California,Cupertino,"$391,035","$93,736","$364,980","$3,336,853.1","164,000",https://www.apple.com
5,CVS Health,CVS,Health Care: Pharmacy and Other Services,Rhode Island,Woonsocket,"$372,809","$4,614","$253,215","$85,418.9","259,500",https://www.cvshealth.com
6,Berkshire Hathaway,BRK.A,Insurance: Property and Casualty (Stock),Nebraska,Omaha,"$371,433","$88,995","$1,153,881","$1,148,720.3","392,400",
7,Alphabet,GOOGL,Internet Services and Retailing,California,Mountain View,"$350,018","$100,118","$450,256","$1,894,485.5","183,323",https://www.abc.xyz
8,Exxon Mobil,XOM,Petroleum Refining,Texas,Spring,"$349,585","$33,680","$453,475","$516,054.3","60,900",https://www.exxonmobil.com
9,McKesson,MCK,Wholesalers: Health Care,Texas,Irving,"$308,951","$3,002","$67,443","$84,343.4","48,000",https://www.mckesson.com
10,Cencora,COR,Wholesalers: Health Care,Pennsylvania,Conshohocken,"$293,958.6","$1,509.1","$67,101.7","$53,869.5","44,000",https://www.cencora.com
11,JPMorgan Chase,JPM,Commercial Banks,New York,New York,"$278,906","$58,471","$4,002,814","$685,884.8","317,233",https://www.jpmorganchase.com
12,Costco Wholesale,COST,General Merchandisers,Washington,Issaquah,"$254,453","$7,367","$69,831","$419,626.8","333,000",https://www.costco.com
13,Cigna Group,CI,Health Care: Pharmacy and Other Services,Connecticut,Bloomfield,"$247,121","$3,434","$155,881","$89,194.6","72,398",
14,Microsoft,MSFT,Computer Software,Washington,Redmond,"$245,122","$88,136","$512,163","$2,790,642.6","228,000",https://www.microsoft.com
15,Cardinal Health,CAH,Wholesalers: Health Care,Ohio,Dublin,"$226,827",$852,"$45,121","$33,280.8","48,411",https://www.cardinalhealth.com
16,Chevron,CVX,Petroleum Refining,Texas,Houston,"$202,792","$17,661","$256,938","$292,710","45,298",https://www.chevron.com
17,Bank of America,BAC,Commercial Banks,North Carolina,Charlotte,"$192,434","$27,132","$3,261,519","$317,264.8","213,193",https://www.bankofamerica.com
18,General Motors,GM,Motor Vehicles & Parts,Michigan,Detroit,"$187,442","$6,008","$279,761","$46,794.9","162,000",https://www.gm.com
19,Ford Motor,F,Motor Vehicles & Parts,Michigan,Dearborn,"$184,992","$5,879","$285,196","$39,884.8","171,000",https://www.ford.com
20,Elevance Health,ELV,Health Care: Insurance and Managed Care,Indiana,Indianapolis,"$177,011","$5,980","$116,889","$98,469.3","103,679",https://www.elevancehealth.com
21,Citigroup,C,Commercial Banks,New York,New York,"$170,757","$12,682","$2,352,945","$133,614.5","227,855",https://www.citigroup.com
22,Meta Platforms,META,Internet Services and Retailing,California,Menlo Park,"$164,501","$62,360","$276,054","$1,460,299.9","74,067",https://investor.fb.com
23,Centene,CNC,Health Care: Insurance and Managed Care,Missouri,St. Louis,"$163,071","$3,305","$82,445","$30,115.8","60,500",https://www.centene.com
24,Home Depot,HD,Specialty Retailers: Other,Georgia,Atlanta,"$159,514","$14,806","$96,119","$364,302.8","470,100",https://www.homedepot.com
25,Fannie Mae,FNMA,Diversified Financials,District Of Columbia,Washington,"$152,670","$16,978","$4,349,731","$7,319.1","8,200",https://www.fanniemae.com
26,Walgreens Boots Alliance,WBA,Food & Drug Stores,Illinois,Deerfield,"$147,658","$-8,636","$81,037","$9,659.1","252,500",https://www.walgreensbootsalliance.com
27,Kroger,KR,Food & Drug Stores,Ohio,Cincinnati,"$147,123","$2,665","$52,616","$44,540","409,000",https://www.thekrogerco.com
28,Phillips 66,PSX,Petroleum Refining,Texas,Houston,"$145,496","$2,117","$72,582","$50,342.6","13,200",https://www.phillips66.com
